Wavelength (nm),UVC,UVB,UVA,Relative Spectral Effectiveness,Relative Spectral Effectiveness (eyes protected)
230,0.0,0.0,0.03,0.19,0.0189
235,0.0,0.0,0.03,0.24,0.038
240,0.25,0.0,0.02,0.3,0.075
245,0.88,0.0,0.02,0.36,0.15
250,1.0,0.0,0.02,0.43,0.3
255,0.92,0.0,0.0,0.52,0.3
260,0.89,0.0,0.0,0.65,0.3
265,0.86,0.03,0.0,0.81,0.3
270,0.8,0.04,0.0,1.0,0.3
275,0.67,0.08,0.0,0.96,0.3
280,0.48,0.37,0.0,0.88,0.3
285,0.15,0.83,0.0,0.77,0.3
290,0.0,0.9,0.0,0.64,0.3
295,0.0,1.0,0.0,0.54,0.3
300,0.0,0.95,0.02,0.3,0.3
305,0.0,0.89,0.03,0.06,0.06
310,0.0,0.8,0.06,0.015,0.015
315,0.0,0.4,0.31,0.003,0.003
320,0.0,0.1,0.82,0.001,0.001
325,0.0,0.0,0.89,0.0005,0.0005
330,0.0,0.0,0.9,0.00041,0.00041
335,0.0,0.0,1.0,0.00034,0.00034
340,0.0,0.0,0.9,0.00028,0.00028
345,0.0,0.0,1.0,0.00024,0.00024
350,0.0,0.0,0.86,0.0002,0.0002
355,0.0,0.0,0.75,0.00016,0.00016
360,0.0,0.0,0.75,0.00013,0.00013
365,0.0,0.0,0.62,0.00011,0.00011
370,0.0,0.0,0.75,9.3e-05,9.3e-05
375,0.0,0.0,0.61,7.7e-05,7.7e-05
380,0.0,0.0,0.75,6.4e-05,6.4e-05
385,0.0,0.0,0.6,5.3e-05,5.3e-05
390,0.0,0.0,0.67,4.4e-05,4.4e-05
395,0.0,0.0,0.52,3.6e-05,3.6e-05
400,0.0,0.0,0.55,3e-05,3e-05
405,0.0,0.0,0.43,3e-05,3e-05
410,0.0,0.0,0.4,3e-05,3e-05
415,0.0,0.0,0.2,3e-05,3e-05
420,0.0,0.0,0.03,3e-05,3e-05
425,0.0,0.0,0.0,3e-05,3e-05
430,0.0,0.0,0.0,3e-05,3e-05
